"","ID","long","lat","order","piece","group","id","n","alph"
"1","001",-73.09,7.06,1,"1","1.1","1",15,0.470003629245736
"2","001",-72.0793999665892,7.99400150255184,2,"1","1.1","1",15,0.470003629245736
"3","001",-71.0641682072268,8.92553695045482,3,"1","1.1","1",15,0.470003629245736
"4","001",-70.0437461254772,9.85430115063539,4,"1","1.1","1",15,0.470003629245736
"5","001",-69.0175706478155,10.7799837665617,5,"1","1.1","1",15,0.470003629245736
"6","001",-67.9850738762688,11.7022687525485,6,"1","1.1","1",15,0.470003629245736
"7","001",-66.9456827831259,12.6208337818301,7,"1","1.1","1",15,0.470003629245736
"8","001",-65.8988189541582,13.5353496684068,8,"1","1.1","1",15,0.470003629245736
"9","001",-64.8438983874886,14.4454797828627,9,"1","1.1","1",15,0.470003629245736
"10","001",-63.780331356006,15.3508794625791,10,"1","1.1","1",15,0.470003629245736
"11","001",-62.7075223420532,16.2511954170229,11,"1","1.1","1",15,0.470003629245736
"12","001",-61.6248700540125,17.1460651290851,12,"1","1.1","1",15,0.470003629245736
"13","001",-60.5317675353706,18.0351162537834,13,"1","1.1","1",15,0.470003629245736
"14","001",-59.4276023778616,18.9179660160222,14,"1","1.1","1",15,0.470003629245736
"15","001",-58.3117570513477,19.7942206095369,15,"1","1.1","1",15,0.470003629245736
"16","001",-57.1836093641989,20.6634745996373,16,"1","1.1","1",15,0.470003629245736
"17","001",-56.0425330690507,21.5253103329064,17,"1","1.1","1",15,0.470003629245736
"18","001",-54.8878986299358,22.3792973576205,18,"1","1.1","1",15,0.470003629245736
"19","001",-53.7190741678742,23.2249918593282,19,"1","1.1","1",15,0.470003629245736
"20","001",-52.5354266030319,24.061936116764,20,"1","1.1","1",15,0.470003629245736
"21","001",-51.3363230124766,24.8896579840857,21,"1","1.1","1",15,0.470003629245736
"22","001",-50.121132223321,25.7076704062997,22,"1","1.1","1",15,0.470003629245736
"23","001",-48.8892266615904,26.5154709756885,23,"1","1.1","1",15,0.470003629245736
"24","001",-47.6399844774039,27.3125415380585,24,"1","1.1","1",15,0.470003629245736
"25","001",-46.3727919669395,28.0983478586965,25,"1","1.1","1",15,0.470003629245736
"26","001",-45.0870463110643,28.8723393590236,26,"1","1.1","1",15,0.470003629245736
"27","001",-43.7821586493458,29.6339489360734,27,"1","1.1","1",15,0.470003629245736
"28","001",-42.4575575062986,30.3825928780612,28,"1","1.1","1",15,0.470003629245736
"29","001",-41.1126925840447,31.1176708904237,29,"1","1.1","1",15,0.470003629245736
